name,price,url
abyssal dawn,175,https://square.link/u/JASryG7g
abyssal swift,175,https://square.link/u/Ewj9cOfY
amethyst abyss,175,https://square.link/u/7WeF0llL
artic fracture,185,https://square.link/u/CJYb5XgO
Aurelian Surge,200,https://square.link/u/CJYb5XgO
Azure Ember,175,https://square.link/u/O8OrfonY
bismuth bloom,250,https://square.link/u/66aa8T9f
Bloomquake,250,https://square.link/u/7V4CY9pq
Celestial Bloom,250,https://square.link/u/aq2zRPpV
Celestial Current,200,https://square.link/u/lHUyPXNt
Cerulean Swirl,175,https://square.link/u/AyrOrAK9
cerulean vortex,175,https://square.link/u/usSWCELh
cinders river,175,https://square.link/u/YzLpR83V
Crinson current,275,https://square.link/u/7EYQ7flT
Crystalline strata,185,https://square.link/u/4oPASJlO
Desert veins,240,https://square.link/u/oy75wwze
embers in the undertow,250,https://square.link/u/Dcqvs7nm
emerald lattice,150,https://square.link/u/Z5p2DWuA
floral kinetic,300,https://square.link/u/UCvfqPJ6
Frosts heart,300,https://square.link/u/qNQMr2JF
guilded Moss,200,https://square.link/u/JJWQkaqq
indigo marrow,175,https://square.link/u/YotuLopu
kinetic flow,200,https://square.link/u/Uguj9mac
Liviathans armor,250,https://square.link/u/OEaEHyuh
Luminous lagoon,200,https://square.link/u/OEaEHyuh
magenta monsoon,175,https://square.link/u/ZbwomOFA
magma monsoon,300,https://square.link/u/gh4g6kxd
solar bloom,300,https://square.link/u/pMtoRrb4
solar echos,250,https://square.link/u/9hZ3Ohux
sunlit stillness with dragon fruit,300,https://square.link/u/9hZ3Ohux
taracotta tide,275,https://square.link/u/MZrqapw6
twilight tides,200,https://square.link/u/l1dlsm5y
verdent veil,300,https://square.link/u/wLRSq970
verdent tides ascending,300,https://square.link/u/4adeL1PK
vivid pedals,300,https://square.link/u/ckb9SUQS
